gold;500;Care este capitala Romaniei?;Budapesta;Sofia;Bucuresti;2
gold;600;Ce moneda foloseste Franta?;Lira;Euro;Franc;1
gold;700;In ce an a aderat Romania la UE?;2004;2007;2010;1
gold;550;Ce fluviu trece prin Budapesta?;Dunarea;Rin;Sena;0
gold;650;Care este cel mai inalt munte din Grecia?;Olimp;Parnas;Athos;0
gold;600;Care este capitala Spaniei?;Barcelona;Madrid;Sevilla;1
gold;550;Ce limba se vorbeste in Brazilia?;Spaniola;Portugheza;Braziliana;1
gold;700;Cate continente exista?;5;6;7;2
gold;500;Care este cel mai lung fluviu din lume?;Nil;Amazon;Mississippi;0
gold;650;In ce tara se afla Turnul Eiffel?;Italia;Anglia;Franta;2
gold;600;Care este cea mai mica tara din lume?;Monaco;Vatican;San Marino;1
gold;750;Ce planeta este cea mai apropiata de Soare?;Venus;Mercur;Marte;1
gold;550;Cate culori are curcubeul?;5;6;7;2
gold;700;In ce oras se afla Colosseumul?;Atena;Roma;Madrid;1
gold;600;Care este cel mai mare ocean?;Atlantic;Indian;Pacific;2
stability;15;Care este cel mai mare oras din Germania?;Munchen;Hamburg;Berlin;2
stability;12;Cate stele are steagul UE?;12;15;27;0
stability;18;Ce limba se vorbeste in Austria?;Austriaca;Germana;Elvetiana;1
stability;14;Care tara are forma de cizma?;Spania;Grecia;Italia;2
stability;16;Care este capitala Bulgariei?;Sofia;Varna;Plovdiv;0
stability;15;Care este capitala Poloniei?;Cracovia;Varsovia;Gdansk;1
stability;13;In ce tara se afla orasul Porto?;Spania;Portugalia;Brazilia;1
stability;17;Care este capitala Greciei?;Salonic;Atena;Sparta;1
stability;14;Ce mare scalda Romania?;Mediterana;Neagra;Adriatica;1
stability;16;Care este capitala Ungariei?;Debrecen;Szeged;Budapesta;2
stability;15;Cate zile are un an bisect?;364;365;366;2
stability;18;Care este capitala Cehiei?;Praga;Brno;Ostrava;0
stability;13;In ce tara se afla muntii Alpi?;doar Franta;Elvetia si altele;doar Italia;1
stability;17;Care este capitala Portugaliei?;Porto;Lisabona;Faro;1
stability;14;Ce ocean separa Europa de America?;Pacific;Indian;Atlantic;2
